,collection,brand,item,price_without_discount,discount,clean_price,maltiply
1207,New Season,Self-Portrait,lace-panel short-sleeve dress,471.0,0.0,471.0,1.0
1208,,Rachel Gilbert,bow-detailed short dress,963.0,0.0,963.0,1.0
1209,,Dsquared2,Icon-print T-shirt dress,386.0,30.0,270.0,0.7
1210,,Versace Jeans Couture,Sun Flower Garland print T-shirt dress,475.0,40.0,285.0,0.6
1211,New Season,sherris,ruffle-detail minidress,311.0,0.0,311.0,1.0
1212,,Misa Los Angeles,Kaia flared-sleeve mini dress,483.0,30.0,338.0,0.7
1213,,Raf Simons,sleeveless shift dress,694.0,50.0,347.0,0.5
1214,New Season,Jonathan Simkhai,button detail mini dress,583.0,0.0,583.0,1.0
1215,,Blanca Vita,gathered-detail shift dress,398.0,35.0,259.0,0.65
1216,,Roberto Cavalli,leopard-print asymmetric evening dress,4680.0,40.0,2808.0,0.6
1217,,Marchesa Notte,heart pattern sleeveless dress,744.0,0.0,744.0,1.0
1218,,Dolce & Gabbana,ruffled floral-print dress,3253.0,40.0,1952.0,0.6
1219,,Maje,paisley-print floaty scarf-detail dress,422.0,0.0,422.0,1.0
1220,,Lygia & Nanny,Falcão print dress,281.0,0.0,281.0,1.0
1221,,ANINE BING,Melaine sleeveless midi dress,464.0,0.0,464.0,1.0
1222,,ETRO,logo-patch short-sleeve dress,890.0,0.0,890.0,1.0
1223,,Michelle Mason,silk wrap floor-length gown,990.0,0.0,990.0,1.0
1224,New Season,Zadig&Voltaire,embroidered round-neck dress,445.0,0.0,445.0,1.0
1225,,THE ANDAMANE,lace-panelled slip dress,648.0,10.0,583.0,0.9
1226,,LIU JO,logo-print T-shirt dress,110.0,20.0,88.0,0.8
1227,,Maje,patterned flared mini dress,265.0,0.0,265.0,1.0
1228,New Season,Reformation,floral-print sleeveless dress,292.0,0.0,292.0,1.0
1229,,Marchesa Notte Bridesmaids,one shoulder flutter bridesmaid gown,360.0,25.0,270.0,0.75
1230,,Blanca Vita,Aspasia A-line dress,377.0,35.0,245.0,0.65
1231,Conscious,GANNI,shirred poplin midi dress,317.0,0.0,317.0,1.0
1232,,PINKO,crystal-embellished sweater dress,349.0,45.0,192.0,0.55
1233,New Season,Reformation,Linda linen mini dress,280.0,0.0,280.0,1.0
1234,,CHIARA BONI La Petite Robe,sleeveless maxi gown,1062.0,20.0,850.0,0.8
1235,Conscious,GANNI,open V-neck mini dress,313.0,30.0,219.0,0.7
1236,,Dsquared2,Icon-print T-shirt dress,386.0,30.0,270.0,0.7
1237,,Ports 1961,contrast trim shirt dress,1577.0,40.0,946.0,0.6
1238,,Tommy Hilfiger,side-stripe shirtdress,178.0,20.0,142.0,0.8
1239,,Dsquared2,long-print T-shirt dress,157.0,0.0,157.0,1.0
1240,,Prada,polka-dot midi dress,3410.0,0.0,3410.0,1.0
1241,,Dolce & Gabbana,DG graffiti print charmeuse minidress,1625.0,0.0,1625.0,1.0
1242,,ZIMMERMANN,wraparound silk dress,664.0,0.0,664.0,1.0
1243,,Versace,Barocco goddess slash dress,2222.0,50.0,1111.0,0.5
1244,,MM6 Maison Margiela,logo-graphic print shirt dress,465.0,25.0,349.0,0.75
1245,,Alberta Ferretti,bleached denim mini dress,659.0,0.0,659.0,1.0
1246,New Season,Isabel Marant Étoile,graphic print long-sleeved dress,432.0,0.0,432.0,1.0
1247,New Season,Jacquemus,long-sleeve shirt dress,617.0,0.0,617.0,1.0
1248,,TWINSET,V-neck cotton wrap dress,205.0,25.0,154.0,0.75
1249,Conscious,GANNI,striped drop-waist midi dress,304.0,30.0,213.0,0.7
1250,,b+ab,velour flared pleated dress,230.0,50.0,115.0,0.5
1251,,TWINSET,tulle-trim T-shirt dress,176.0,30.0,123.0,0.7
1252,,MC2 Saint Barth,Bliss wrap shirt dress,165.0,0.0,165.0,1.0
1253,Conscious,Karl Lagerfeld,lace-insert jersey dress,160.0,30.0,112.0,0.7
1254,,Dolce & Gabbana,Milano open-back fitted dress,1175.0,20.0,940.0,0.8
1255,Conscious,Balmain,asymmetric denim shirtdress,1872.0,40.0,1123.0,0.6
1256,,The Attico,feathered mini dress,1373.0,25.0,1030.0,0.75
1257,,Paco Rabanne,Lurex jersey draped dress,635.0,0.0,635.0,1.0
1258,,Maje,puff-sleeve square-neck dress,332.0,0.0,332.0,1.0
1259,Conscious,adidas,tie-dye stretch dress,67.0,0.0,67.0,1.0
1260,New Season,Diesel,denim shirt dress,259.0,0.0,259.0,1.0
1261,New Season,Alice McCall,Midnight Sun floral-print shirt dress,338.0,0.0,338.0,1.0
1262,New Season,Karl Lagerfeld,logo-trim T-shirt dress,197.0,0.0,197.0,1.0
1263,,LIU JO,sleeveless mid-length dress,194.0,20.0,155.0,0.8
1264,,TWINSET,pleated V-neck sleeveless dress,341.0,20.0,266.0,0.8
1265,,TWINSET,ruffle-detail cotton maxi dress,391.0,30.0,274.0,0.7
1266,New Season,Reformation,Nira floral-print maxi dress,292.0,0.0,292.0,1.0
1267,,16Arlington,Minelli feather-trim strapless midi dress,1051.0,0.0,1051.0,1.0
1268,New Season,Self-Portrait,ruched-detail off-shoulder dress,443.0,0.0,443.0,1.0
1269,,Federica Tosi,rolled-trim T-shirt dress,135.0,25.0,101.0,0.75
1270,,P.A.R.O.S.H.,halterneck fitted dress,192.0,35.0,125.0,0.65
1271,,LIU JO,crystal-embellished tiered dress,116.0,10.0,104.0,0.9
1272,New Season,Self-Portrait,knitted short-sleeve dress,463.0,0.0,463.0,1.0
1273,,Blumarine,printed silk mini dress,1384.0,35.0,886.0,0.65
1274,,Dolce & Gabbana,floral print midi dress,1930.0,40.0,1158.0,0.6
1275,New Season,Dion Lee,Fin corset dress,569.0,0.0,569.0,1.0
1276,New Season,Versace,scarf panel insert denim dress,1096.0,0.0,1096.0,1.0
1277,,Erika Cavallini,one-shoulder dress,506.0,30.0,354.0,0.7
1278,,ASPESI,chambray midi shirt dress,297.0,30.0,208.0,0.7
1279,Conscious,LIU JO,sleeveless tied-waist shirt-dress,232.0,10.0,209.0,0.9
1280,New Season,Philipp Plein,crystal-embellished monogram gown,4870.0,0.0,4870.0,1.0
1281,,Self-Portrait,lace-trim midi dress,460.0,30.0,322.0,0.7
1282,,Ermanno Scervino,lace-mini dress,4706.0,0.0,4706.0,1.0
1283,,Dolce & Gabbana,floral bustier dress,1475.0,0.0,1475.0,1.0
1284,,Alberta Ferretti,knot detail short dress,830.0,30.0,581.0,0.7
1285,New Season,Cult Gaia,Serita cut-out dress,423.0,0.0,423.0,1.0
1286,,Maison Close,Blue Angel tulle midi dress,213.0,0.0,213.0,1.0
1287,New Season,Maje,all-over graphic-print dress,310.0,0.0,310.0,1.0
1288,,MSGM,bow-detail A-line dress,618.0,35.0,402.0,0.65
1289,,Prada,graphic-print shirt dress,3470.0,0.0,3470.0,1.0
1290,,ETRO,abstract-print halterneck gown,2166.0,0.0,2166.0,1.0
1291,New Season,Dolce & Gabbana,floral print sleeveless midi dress,1584.0,0.0,1584.0,1.0
1292,,IRO,short-sleeve shift dress,504.0,25.0,378.0,0.75
1293,,Jacquemus,Limao halterneck dress,540.0,0.0,540.0,1.0
1294,,Zadig&Voltaire,Raphia dress,726.0,0.0,726.0,1.0
1295,,Dolce & Gabbana,ruched mid-length dress,3496.0,30.0,2447.0,0.7
1296,,Dolce & Gabbana,V-neck graphic-print dress,3253.0,40.0,1952.0,0.6
1297,,Dolce & Gabbana,short-sleeve fitted dress,1725.0,0.0,1725.0,1.0
1298,,Philipp Plein,baroque-print maxi dress,3133.0,30.0,2193.0,0.7
1299,,PINKO,cap sleeve flared mini dress,265.0,0.0,265.0,1.0
1300,New Season,SANDRO,striped embroidered tiered mini dress,332.0,0.0,332.0,1.0
1301,,La DoubleJ,24/7 printed shift dress,830.0,0.0,830.0,1.0
